"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"06/26/2021","44","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/27/2021","43","PM2.5","JFK","20-209-0021","AQS"
"06/28/2021","45","PM2.5","JFK","20-209-0021","AQS"
"06/29/2021","33","Ozone","Rocky Creek","29-047-0006","AQS"
"06/30/2021","29","Ozone","Trimble","29-049-0001","AQS"
"07/01/2021","42","Ozone","Trimble","29-049-0001","AQS"
"07/02/2021","65","PM2.5","JFK","20-209-0021","AQS"
"07/03/2021","74","PM2.5","JFK","20-209-0021","AQS"
"07/04/2021","147","PM2.5","Troost","29-095-0034","AQS"
"07/05/2021","77","Ozone","Rocky Creek","29-047-0006","AQS"
"07/06/2021","87","Ozone","Rocky Creek","29-047-0006","AQS"
"07/07/2021","51","PM2.5","JFK","20-209-0021","AQS"
"07/08/2021","80","Ozone","HERITAGE PARK","20-091-0010","AQS"
"07/09/2021","46","Ozone","Rocky Creek","29-047-0006","AQS"
"07/10/2021","50","Ozone","Rocky Creek","29-047-0006","AQS"
"07/11/2021","35","Ozone","HERITAGE PARK","20-091-0010","AQS"
"07/12/2021","43","PM2.5","JFK","20-209-0021","AQS"
"07/13/2021","74","Ozone","Rocky Creek","29-047-0006","AQS"
"07/14/2021","60","PM2.5","JFK","20-209-0021","AQS"
"07/15/2021","38","PM2.5","Troost","29-095-0034","AQS"
"07/16/2021","51","Ozone","JFK","20-209-0021","AQS"
"07/17/2021","43","PM2.5","JFK","20-209-0021","AQS"
"07/18/2021","59","PM2.5","JFK","20-209-0021","AQS"
"07/19/2021","60","PM2.5","JFK","20-209-0021","AQS"
"07/20/2021","63","PM2.5","JFK","20-209-0021","AQS"
"07/21/2021","112","Ozone","JFK","20-209-0021","AQS"
"07/22/2021","89","PM2.5","JFK","20-209-0021","AQS"
"07/23/2021","97","Ozone","Rocky Creek","29-047-0006","AQS"
"07/24/2021","50","PM2.5","JFK","20-209-0021","AQS"
"07/25/2021","59","PM2.5","JFK","20-209-0021","AQS"
"07/26/2021","93","Ozone","Leavenworth","20-103-0003","AQS"
"07/27/2021","122","Ozone","JFK","20-209-0021","AQS"
"07/28/2021","129","Ozone","Liberty","29-047-0005","AQS"
"07/29/2021","61","PM2.5","Troost","29-095-0034","AQS"
"07/30/2021","71","Ozone","JFK","20-209-0021","AQS"
"07/31/2021","54","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"08/01/2021","145","PM2.5","Troost","29-095-0034","AQS"
"08/02/2021","127","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"08/03/2021","66","PM2.5","Troost","29-095-0034","AQS"
"08/04/2021","70","PM2.5","Troost","29-095-0034","AQS"
"08/05/2021","75","PM2.5","Troost","29-095-0034","AQS"
"08/06/2021","84","Ozone","Rocky Creek","29-047-0006","AQS"
"08/07/2021","67","PM2.5","Troost","29-095-0034","AQS"
"08/08/2021","53","PM2.5","Troost","29-095-0034","AQS"
"08/09/2021","46","PM2.5","Troost","29-095-0034","AQS"
"08/10/2021","49","PM2.5","Troost","29-095-0034","AQS"
"08/11/2021","48","PM2.5","Troost","29-095-0034","AQS"
"08/12/2021","51","PM10","Not Available","29-095-0018","AQS"
"08/13/2021","40","Ozone","JFK","20-209-0021","AQS"
"08/14/2021","40","Ozone","JFK","20-209-0021","AQS"
"08/15/2021","54","Ozone","Leavenworth","20-103-0003","AQS"
"08/16/2021","67","Ozone","Leavenworth","20-103-0003","AQS"
"08/17/2021","52","PM2.5","JFK","20-209-0021","AQS"
"08/18/2021","51","PM2.5","Troost","29-095-0034","AQS"
"08/19/2021","39","PM2.5","Troost","29-095-0034","AQS"
"08/20/2021","52","PM10","Not Available","29-095-0018","AQS"
"08/21/2021","45","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/22/2021","44","Ozone","Rocky Creek","29-047-0006","AQS"
"08/23/2021","51","PM2.5","JFK","20-209-0021","AQS"
"08/24/2021","51","PM2.5","JFK","20-209-0021","AQS"
"08/25/2021","43","Ozone","Leavenworth","20-103-0003","AQS"
"08/26/2021","67","Ozone","Rocky Creek","29-047-0006","AQS"
"08/27/2021","60","PM2.5","Troost","29-095-0034","AQS"
"08/28/2021","59","PM2.5","JFK","20-209-0021","AQS"
"08/29/2021","47","Ozone","Rocky Creek","29-047-0006","AQS"
"08/30/2021","49","Ozone","Leavenworth","20-103-0003","AQS"
"08/31/2021","42","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"09/01/2021","44","Ozone","Leavenworth","20-103-0003","AQS"
"09/02/2021","43","PM2.5","Troost","29-095-0034","AQS"
"09/03/2021","45","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"09/04/2021","30","PM2.5","Troost","29-095-0034","AQS"
"09/05/2021","47","Ozone","Liberty","29-047-0005","AQS"
"09/06/2021","50","PM2.5","JFK","20-209-0021","AQS"
"09/07/2021","59","PM2.5","Troost","29-095-0034","AQS"
"09/08/2021","43","Ozone","HERITAGE PARK","20-091-0010","AQS"
"09/09/2021","53","PM10","Not Available","29-095-0018","AQS"
"09/10/2021","58","Ozone","Liberty","29-047-0005","AQS"
"09/11/2021","54","PM2.5","JFK","20-209-0021","AQS"
"09/12/2021","53","PM2.5","Troost","29-095-0034","AQS"
"09/13/2021","64","Ozone","Rocky Creek","29-047-0006","AQS"
"09/14/2021","54","PM2.5","Troost","29-095-0034","AQS"
"09/15/2021","44","Ozone","Leavenworth","20-103-0003","AQS"
"09/16/2021","48","Ozone","Trimble","29-049-0001","AQS"
"09/17/2021","50","PM2.5","Troost","29-095-0034","AQS"
"09/18/2021","54","PM2.5","Troost","29-095-0034","AQS"
"09/19/2021","35","Ozone","Rocky Creek","29-047-0006","AQS"
"09/20/2021","39","PM2.5","Troost","29-095-0034","AQS"
"09/21/2021","37","Ozone","HERITAGE PARK","20-091-0010","AQS"
"09/22/2021","34","Ozone","HERITAGE PARK","20-091-0010","AQS"
"09/23/2021","48","Ozone","Rocky Creek","29-047-0006","AQS"
"09/24/2021","56","PM10","Not Available","29-095-0018","AQS"
"09/25/2021","44","Ozone","Liberty","29-047-0005","AQS"
"09/26/2021","58","Ozone","Rocky Creek","29-047-0006","AQS"
"09/27/2021","64","Ozone","Liberty","29-047-0005","AQS"
"09/28/2021","101","Ozone","Rocky Creek","29-047-0006","AQS"
"09/29/2021","58","PM2.5","Troost","29-095-0034","AQS"
"09/30/2021","40","Ozone","Rocky Creek","29-047-0006","AQS"
"10/01/2021","31","PM2.5","JFK","20-209-0021","AQS"
"10/02/2021","41","PM2.5","Troost","29-095-0034","AQS"
"10/03/2021","50","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"10/04/2021","51","PM2.5","JFK","20-209-0021","AQS"
"10/05/2021","52","PM2.5","Troost","29-095-0034","AQS"
"10/06/2021","43","PM2.5","Troost","29-095-0034","AQS"
"10/07/2021","44","PM2.5","JFK","20-209-0021","AQS"
"10/08/2021","77","Ozone","Rocky Creek","29-047-0006","AQS"
"10/09/2021","64","Ozone","Rocky Creek","29-047-0006","AQS"
"10/10/2021","45","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"10/11/2021","40","PM2.5","JFK","20-209-0021","AQS"
"10/12/2021","59","PM2.5","JFK","20-209-0021","AQS"
"10/13/2021","41","PM10","Not Available","29-095-0018","AQS"
"10/14/2021","34","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"10/15/2021","33","Ozone","Rocky Creek","29-047-0006","AQS"
"10/16/2021","36","Ozone","HERITAGE PARK","20-091-0010","AQS"
"10/17/2021","57","PM2.5","JFK","20-209-0021","AQS"
"10/18/2021","55","PM10","Not Available","29-095-0018","AQS"
"10/19/2021","49","Ozone","Rocky Creek","29-047-0006","AQS"
"10/20/2021","38","PM2.5","Troost","29-095-0034","AQS"
"10/21/2021","42","PM10","Not Available","29-095-0018","AQS"
"10/22/2021","58","PM10","Not Available","29-095-0018","AQS"
"10/23/2021","48","PM2.5","Troost","29-095-0034","AQS"
"10/24/2021","33","PM2.5","Troost","29-095-0034","AQS"
"10/25/2021","24","Ozone","Rocky Creek","29-047-0006","AQS"
"10/26/2021","29","Ozone","HERITAGE PARK","20-091-0010","AQS"
"10/27/2021","42","PM2.5","Troost","29-095-0034","AQS"
"10/28/2021","34","Ozone","Liberty","29-047-0005","AQS"
"10/29/2021","26","PM2.5","Troost","29-095-0034","AQS"
"10/30/2021","49","PM2.5","JFK","20-209-0021","AQS"
"10/31/2021","31","Ozone","HERITAGE PARK","20-091-0010","AQS"
"11/01/2021","26","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"11/02/2021","43","PM2.5","JFK","20-209-0021","AQS"
"11/03/2021","63","PM2.5","JFK","20-209-0021","AQS"
"11/04/2021","40","PM10","Not Available","29-095-0018","AQS"
"11/05/2021","41","PM2.5","Troost","29-095-0034","AQS"
"11/06/2021","41","PM2.5","Troost","29-095-0034","AQS"
"11/07/2021","45","PM2.5","JFK","20-209-0021","AQS"
"11/08/2021","64","PM2.5","JFK","20-209-0021","AQS"
"11/09/2021","64","PM2.5","Troost","29-095-0034","AQS"
"11/10/2021","56","PM2.5","JFK","20-209-0021","AQS"
"11/11/2021","29","Ozone","HERITAGE PARK","20-091-0010","AQS"
"11/12/2021","27","Ozone","HERITAGE PARK","20-091-0010","AQS"
"11/13/2021","30","Ozone","HERITAGE PARK","20-091-0010","AQS"
"11/14/2021","31","Ozone","HERITAGE PARK","20-091-0010","AQS"
"11/15/2021","59","PM10","Not Available","29-095-0018","AQS"
"11/16/2021","51","PM2.5","JFK","20-209-0021","AQS"
"11/17/2021","43","PM10","Not Available","29-095-0018","AQS"
"11/18/2021","40","PM2.5","JFK","20-209-0021","AQS"
"11/19/2021","60","PM2.5","JFK","20-209-0021","AQS"
"11/20/2021","42","PM2.5","JFK","20-209-0021","AQS"
"11/21/2021","55","PM2.5","Troost","29-095-0034","AQS"
"11/22/2021","43","PM2.5","JFK","20-209-0021","AQS"
"11/23/2021","51","PM10","Not Available","29-095-0018","AQS"
"11/24/2021","53","PM10","Not Available","29-095-0018","AQS"
"11/25/2021","45","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"11/26/2021","41","PM2.5","JFK","20-209-0021","AQS"
"11/27/2021","32","Ozone","HERITAGE PARK","20-091-0010","AQS"
"11/28/2021","36","PM2.5","JFK","20-209-0021","AQS"
"11/29/2021","68","PM10","Not Available","29-095-0018","AQS"
"11/30/2021","64","PM10","Not Available","29-095-0018","AQS"
"12/01/2021","55","PM10","Not Available","29-095-0018","AQS"
"12/02/2021","61","PM10","Not Available","29-095-0018","AQS"
"12/03/2021","62","PM10","Not Available","29-095-0018","AQS"
"12/04/2021","51","PM2.5","Troost","29-095-0034","AQS"
"12/05/2021","67","PM10","Not Available","29-095-0018","AQS"
"12/06/2021","52","PM10","Not Available","29-095-0018","AQS"
"12/07/2021","39","PM2.5","Troost","29-095-0034","AQS"
"12/08/2021","57","PM10","Not Available","29-095-0018","AQS"
"12/09/2021","54","PM10","Not Available","29-095-0018","AQS"
"12/10/2021","54","PM2.5","JFK","20-209-0021","AQS"
"12/11/2021","34","Ozone","HERITAGE PARK","20-091-0010","AQS"
"12/12/2021","37","Ozone","HERITAGE PARK","20-091-0010","AQS"
"12/13/2021","42","PM10","Not Available","29-095-0018","AQS"
"12/14/2021","45","PM2.5","Troost","29-095-0034","AQS"
"12/15/2021","105","PM2.5","JFK","20-209-0021","AQS"
"12/16/2021","38","PM2.5","JFK","20-209-0021","AQS"
"12/17/2021","46","PM2.5","JFK","20-209-0021","AQS"
"12/18/2021","56","PM2.5","Troost","29-095-0034","AQS"
"12/19/2021","65","PM2.5","JFK","20-209-0021","AQS"
"12/20/2021","55","PM2.5","Troost","29-095-0034","AQS"
"12/21/2021","53","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"12/22/2021","50","PM2.5","JFK","20-209-0021","AQS"
"12/23/2021","61","PM2.5","JFK","20-209-0021","AQS"
"12/24/2021","44","PM2.5","JFK","20-209-0021","AQS"
"12/25/2021","69","PM2.5","JFK","20-209-0021","AQS"
"12/26/2021","60","PM2.5","JFK","20-209-0021","AQS"
"12/27/2021","32","PM2.5","Troost","29-095-0034","AQS"
"12/28/2021","33","PM2.5","Troost","29-095-0034","AQS"
"12/29/2021","53","PM2.5","Troost","29-095-0034","AQS"
"12/30/2021","67","PM2.5","Troost","29-095-0034","AQS"
"12/31/2021","51","PM2.5","JFK","20-209-0021","AQS"
"01/01/2022","49","PM2.5","Troost","29-095-0034","AQS"
"01/02/2022","35","PM2.5","Troost","29-095-0034","AQS"
"01/03/2022","49","PM2.5","JFK","20-209-0021","AQS"
"01/04/2022","32","Ozone","HERITAGE PARK","20-091-0010","AQS"
"01/05/2022","40","PM2.5","Troost","29-095-0034","AQS"
"01/06/2022","51","PM10","Troost","29-095-0034","AQS"
"01/07/2022","33","PM2.5","Troost","29-095-0034","AQS"
"01/08/2022","55","PM2.5","Troost","29-095-0034","AQS"
"01/09/2022","47","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"01/10/2022","42","PM2.5","Troost","29-095-0034","AQS"
"01/11/2022","37","Ozone","HERITAGE PARK","20-091-0010","AQS"
"01/12/2022","50","PM10","Not Available","29-095-0018","AQS"
"01/13/2022","45","PM10","Not Available","29-095-0018","AQS"
"01/14/2022","63","PM2.5","JFK","20-209-0021","AQS"
"01/15/2022","44","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"01/16/2022","55","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"01/17/2022","42","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"01/18/2022","45","PM2.5","Troost","29-095-0034","AQS"
"01/19/2022","34","Ozone","HERITAGE PARK","20-091-0010","AQS"
"01/20/2022","32","Ozone","HERITAGE PARK","20-091-0010","AQS"
"01/21/2022","34","Ozone","HERITAGE PARK","20-091-0010","AQS"
"01/22/2022","33","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"01/23/2022","33","PM2.5","Troost","29-095-0034","AQS"
"01/24/2022","40","PM10","Not Available","29-095-0018","AQS"
"01/25/2022","34","Ozone","Leavenworth","20-103-0003","AQS"
"01/26/2022","36","Ozone","HERITAGE PARK","20-091-0010","AQS"
"01/27/2022","70","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"01/28/2022","38","PM10","Not Available","29-095-0018","AQS"
"01/29/2022","43","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"01/30/2022","47","PM2.5","Troost","29-095-0034","AQS"
"01/31/2022","56","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/01/2022","49","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/02/2022","35","Ozone","HERITAGE PARK","20-091-0010","AQS"
"02/03/2022","38","PM2.5","Troost","29-095-0034","AQS"
"02/04/2022","51","PM2.5","Troost","29-095-0034","AQS"
"02/05/2022","52","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/06/2022","40","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/07/2022","45","PM10","Not Available","29-095-0018","AQS"
"02/08/2022","48","PM10","Not Available","29-095-0018","AQS"
"02/09/2022","64","NO2","Blue Ridge, I-70","29-095-0042","AQS"
"02/10/2022","39","Ozone","Leavenworth","20-103-0003","AQS"
"02/11/2022","38","Ozone","HERITAGE PARK","20-091-0010","AQS"
"02/12/2022","36","Ozone","HERITAGE PARK","20-091-0010","AQS"
"02/13/2022","35","Ozone","HERITAGE PARK","20-091-0010","AQS"
"02/14/2022","36","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/15/2022","55","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/16/2022","63","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/17/2022","38","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/18/2022","50","NO2","JFK","20-209-0021","AQS"
"02/19/2022","46","PM2.5","JFK","20-209-0021","AQS"
"02/20/2022","45","Ozone","HERITAGE PARK","20-091-0010","AQS"
"02/21/2022","56","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/22/2022","45","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/23/2022","39","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/24/2022","61","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"02/25/2022","63","PM2.5","Troost","29-095-0034","AQS"
"02/26/2022","73","PM2.5","JFK","20-209-0021","AQS"
"02/27/2022","61","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"02/28/2022","75","PM10","Not Available","29-095-0018","AQS"
"03/01/2022","93","PM10","Not Available","29-095-0018","AQS"
"03/02/2022","89","PM10","Not Available","29-095-0018","AQS"
"03/03/2022","74","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/04/2022","84","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/05/2022","86","PM2.5","Troost","29-095-0034","AQS"
"03/06/2022","62","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/07/2022","58","PM2.5","Troost","29-095-0034","AQS"
"03/08/2022","61","PM2.5","Troost","29-095-0034","AQS"
"03/09/2022","48","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/10/2022","40","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/11/2022","45","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/12/2022","42","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/13/2022","46","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/14/2022","55","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/15/2022","78","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/16/2022","78","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/17/2022","67","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/18/2022","36","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/19/2022","44","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/20/2022","61","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/21/2022","87","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"03/22/2022","39","Ozone","Rocky Creek","29-047-0006","AQS"
"03/23/2022","30","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/24/2022","30","PM2.5","Troost","29-095-0034","AQS"
"03/25/2022","40","Ozone","Leavenworth","20-103-0003","AQS"
"03/26/2022","42","Ozone","Leavenworth","20-103-0003","AQS"
"03/27/2022","39","Ozone","Liberty","29-047-0005","AQS"
"03/28/2022","45","PM2.5","JFK","20-209-0021","AQS"
"03/29/2022","50","PM2.5","Troost","29-095-0034","AQS"
"03/30/2022","51","PM2.5","Troost","29-095-0034","AQS"
"03/31/2022","48","PM2.5","JFK","20-209-0021","AQS"
"04/01/2022","48","PM2.5","JFK","20-209-0021","AQS"
"04/02/2022","44","Ozone","Liberty","29-047-0005","AQS"
"04/03/2022","52","PM2.5","JFK","20-209-0021","AQS"
"04/04/2022","52","PM2.5","Troost","29-095-0034","AQS"
"04/05/2022","44","Ozone","Liberty","29-047-0005","AQS"
"04/06/2022","38","Ozone","JFK","20-209-0021","AQS"
"04/07/2022","35","Ozone","Leavenworth","20-103-0003","AQS"
"04/08/2022","37","Ozone","Leavenworth","20-103-0003","AQS"
"04/09/2022","48","Ozone","Leavenworth","20-103-0003","AQS"
"04/10/2022","58","Ozone","Liberty","29-047-0005","AQS"
"04/11/2022","46","Ozone","Leavenworth","20-103-0003","AQS"
"04/12/2022","56","PM2.5","Troost","29-095-0034","AQS"
"04/13/2022","34","PM2.5","Troost","29-095-0034","AQS"
"04/14/2022","59","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"04/15/2022","58","PM2.5","Troost","29-095-0034","AQS"
"04/16/2022","44","Ozone","Leavenworth","20-103-0003","AQS"
"04/17/2022","45","PM2.5","Troost","29-095-0034","AQS"
"04/18/2022","46","Ozone","Liberty","29-047-0005","AQS"
"04/19/2022","43","Ozone","Leavenworth","20-103-0003","AQS"
"04/20/2022","37","PM2.5","JFK","20-209-0021","AQS"
"04/21/2022","50","PM2.5","Troost","29-095-0034","AQS"
"04/22/2022","57","PM2.5","Troost","29-095-0034","AQS"
"04/23/2022","52","PM2.5","JFK","20-209-0021","AQS"
"04/24/2022","40","Ozone","Leavenworth","20-103-0003","AQS"
"04/25/2022","46","Ozone","Leavenworth","20-103-0003","AQS"
"04/26/2022","49","Ozone","Leavenworth","20-103-0003","AQS"
"04/27/2022","50","Ozone","Leavenworth","20-103-0003","AQS"
"04/28/2022","49","Ozone","Trimble","29-049-0001","AQS"
"04/29/2022","50","Ozone","Rocky Creek","29-047-0006","AQS"
"04/30/2022","44","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"05/01/2022","49","Ozone","Leavenworth","20-103-0003","AQS"
"05/02/2022","32","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/03/2022","33","Ozone","Rocky Creek","29-047-0006","AQS"
"05/04/2022","52","PM2.5","Blue Ridge, I-70","29-095-0042","AQS"
"05/05/2022","40","PM2.5","Troost","29-095-0034","AQS"
"05/06/2022","42","Ozone","Liberty","29-047-0005","AQS"
"05/07/2022","50","Ozone","Leavenworth","20-103-0003","AQS"
"05/08/2022","39","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/09/2022","74","PM2.5","JFK","20-209-0021","AQS"
"05/10/2022","80","PM2.5","JFK","20-209-0021","AQS"
"05/11/2022","62","PM2.5","JFK","20-209-0021","AQS"
"05/12/2022","71","Ozone","Trimble","29-049-0001","AQS"
"05/13/2022","54","Ozone","Trimble","29-049-0001","AQS"
"05/14/2022","80","Ozone","HERITAGE PARK","20-091-0010","AQS"
"05/15/2022","45","Ozone","Liberty","29-047-0005","AQS"
"05/16/2022","50","Ozone","Liberty","29-047-0005","AQS"
"05/17/2022","58","Ozone","Trimble","29-049-0001","AQS"
"05/18/2022","51","PM2.5","JFK","20-209-0021","AQS"
"05/19/2022","67","Ozone","Trimble","29-049-0001","AQS"
"05/20/2022","45","PM2.5","JFK","20-209-0021","AQS"
"05/21/2022","31","Ozone","Liberty","29-047-0005","AQS"
"05/22/2022","44","Ozone","Leavenworth","20-103-0003","AQS"
"05/23/2022","43","Ozone","Leavenworth","20-103-0003","AQS"
"05/24/2022","44","PM2.5","JFK","20-209-0021","AQS"
"05/25/2022","29","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/26/2022","28","Ozone","Liberty","29-047-0005","AQS"
"05/27/2022","49","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"05/28/2022","47","Ozone","Trimble","29-049-0001","AQS"
"05/29/2022","54","PM2.5","JFK","20-209-0021","AQS"
"05/30/2022","60","PM2.5","JFK","20-209-0021","AQS"
"05/31/2022","42","Ozone","Rocky Creek","29-047-0006","AQS"
"06/01/2022","30","Ozone","Trimble","29-049-0001","AQS"
"06/02/2022","51","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/03/2022","61","Ozone","JFK","20-209-0021","AQS"
"06/04/2022","42","Ozone","Trimble","29-049-0001","AQS"
"06/05/2022","48","Ozone","Rocky Creek","29-047-0006","AQS"
"06/06/2022","67","Ozone","Liberty","29-047-0005","AQS"
"06/07/2022","49","Ozone","HERITAGE PARK","20-091-0010","AQS"
"06/08/2022","47","Ozone","Rocky Creek","29-047-0006","AQS"
"06/09/2022","71","Ozone","Rocky Creek","29-047-0006","AQS"
"06/10/2022","87","Ozone","Liberty","29-047-0005","AQS"
"06/11/2022","54","Ozone","Rocky Creek","29-047-0006","AQS"
"06/12/2022","54","PM2.5","JFK","20-209-0021","AQS"
"06/13/2022","69","PM2.5","JFK","20-209-0021","AQS"
"06/14/2022","92","PM2.5","JFK","20-209-0021","AQS"
"06/15/2022","93","PM2.5","JFK","20-209-0021","AQS"
"06/16/2022","84","Ozone","Rocky Creek","29-047-0006","AQS"
"06/17/2022","68","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"06/18/2022","74","PM2.5","HERITAGE PARK","20-091-0010","AQS"
"06/19/2022","54","PM2.5","JFK","20-209-0021","AQS"
"06/20/2022","80","Ozone","Rocky Creek","29-047-0006","AQS"
"06/21/2022","62","PM2.5","JFK","20-209-0021","AQS"
"06/22/2022","46","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"06/23/2022","46","PM2.5","JFK","20-209-0021","AQS"
